injected_current_pA,dtw_wildtype_vs_untreated_variant
20,0.348873
30,0.491059
40,0.694796
50,0.980795
60,1.37467
70,1.905888
80,2.603816
90,3.487323
100,4.537981
110,5.628219
120,6.294153
130,4.471655
140,333.786289
150,691.365349
160,804.833472
170,381.746789
180,351.415502
190,233.237642
200,270.26509
210,214.994734
220,103.92595
230,102.683082
240,100.652475
250,108.10874
260,205.902569
270,241.483782
280,244.44608
290,243.836231
300,242.904059
310,241.834576
320,303.170971
330,247.7862
340,302.070019
350,321.482546
360,296.038189
TOTAL,6620.789568
