injected_current_pA,in_120_260pA_window,spikes_wild_type,spikes_R859C_variant,variant_minus_wild_type,variant_pct_of_wild_type
20,no,0,0,0,
30,no,0,0,0,
40,no,0,0,0,
50,no,0,0,0,
60,no,0,0,0,
70,no,0,0,0,
80,no,0,0,0,
90,no,0,0,0,
100,no,0,0,0,
110,no,0,0,0,
120,yes,0,0,0,
130,yes,0,0,0,
140,yes,1,0,-1,0.0
150,yes,7,1,-6,14.29
160,yes,11,2,-9,18.18
170,yes,14,12,-2,85.71
180,yes,16,14,-2,87.5
190,yes,17,16,-1,94.12
200,yes,19,18,-1,94.74
210,yes,20,19,-1,95.0
220,yes,21,21,0,100.0
230,yes,22,22,0,100.0
240,yes,23,23,0,100.0
250,yes,24,24,0,100.0
260,yes,24,25,1,104.17
270,no,25,26,1,104.0
280,no,26,27,1,103.85
290,no,27,28,1,103.7
300,no,27,28,1,103.7
310,no,28,29,1,103.57
320,no,28,30,2,107.14
330,no,29,30,1,103.45
340,no,29,31,2,106.9
350,no,30,32,2,106.67
360,no,30,32,2,106.67
TOTAL over 120-260 pA window,,219,197,-22,89.95
TOTAL over full ladder,,498,490,-8,98.39
