time_ms,V_reference_mV,m_reference,h_reference,n_reference,V_fitted_mV,m_fitted,h_fitted,n_fitted
0.0000000,-59.979240,0.052932,0.596121,0.317677,-59.977188,0.052932,0.596121,0.317677
0.0066667,-59.958538,0.052936,0.596120,0.317677,-59.954464,0.052936,0.596120,0.317677
0.0133333,-59.937889,0.052943,0.596119,0.317678,-59.931824,0.052944,0.596119,0.317678
0.0200000,-59.917294,0.052954,0.596117,0.317679,-59.909267,0.052956,0.596117,0.317679
0.0266667,-59.896751,0.052968,0.596115,0.317681,-59.886791,0.052971,0.596115,0.317681
0.0333333,-59.876259,0.052985,0.596112,0.317683,-59.864395,0.052990,0.596111,0.317683
0.0400000,-59.855816,0.053005,0.596109,0.317685,-59.842075,0.053012,0.596108,0.317686
0.0466667,-59.835419,0.053029,0.596105,0.317688,-59.819828,0.053038,0.596103,0.317689
0.0533333,-59.815067,0.053055,0.596100,0.317691,-59.797657,0.053067,0.596098,0.317692
0.0600000,-59.794762,0.053084,0.596095,0.317694,-59.775555,0.053099,0.596093,0.317696
0.0666667,-59.774502,0.053116,0.596090,0.317698,-59.753525,0.053133,0.596087,0.317700
0.0733333,-59.754284,0.053151,0.596084,0.317702,-59.731564,0.053171,0.596080,0.317705
0.0800000,-59.734108,0.053188,0.596077,0.317707,-59.709667,0.053212,0.596073,0.317710
0.0866667,-59.713974,0.053227,0.596070,0.317712,-59.687836,0.053255,0.596065,0.317715
0.0933333,-59.693878,0.053270,0.596062,0.317717,-59.666069,0.053301,0.596056,0.317721
0.1000000,-59.673820,0.053314,0.596053,0.317723,-59.644367,0.053350,0.596047,0.317727
0.1066667,-59.653801,0.053361,0.596044,0.317729,-59.622726,0.053401,0.596037,0.317734
0.1133333,-59.633820,0.053410,0.596035,0.317735,-59.601143,0.053454,0.596027,0.317741
0.1200000,-59.613873,0.053461,0.596025,0.317742,-59.579620,0.053510,0.596016,0.317748
0.1266667,-59.593964,0.053515,0.596014,0.317749,-59.558155,0.053568,0.596004,0.317756
0.1333333,-59.574089,0.053570,0.596003,0.317757,-59.536747,0.053629,0.595992,0.317764
0.1400000,-59.554245,0.053628,0.595991,0.317765,-59.515392,0.053691,0.595980,0.317773
0.1466667,-59.534435,0.053687,0.595979,0.317773,-59.494091,0.053756,0.595966,0.317782
0.1533333,-59.514656,0.053748,0.595966,0.317782,-59.472843,0.053822,0.595952,0.317791
0.1600000,-59.494907,0.053811,0.595953,0.317791,-59.451649,0.053891,0.595938,0.317801
0.1666667,-59.475189,0.053876,0.595939,0.317800,-59.430504,0.053961,0.595923,0.317812
0.1733333,-59.455502,0.053943,0.595925,0.317810,-59.409409,0.054033,0.595907,0.317822
0.1800000,-59.435841,0.054011,0.595910,0.317820,-59.388363,0.054107,0.595891,0.317833
0.1866667,-59.416210,0.054081,0.595895,0.317831,-59.367363,0.054183,0.595874,0.317845
0.1933333,-59.396606,0.054152,0.595878,0.317842,-59.346413,0.054260,0.595857,0.317856
0.2000000,-59.377029,0.054225,0.595862,0.317853,-59.325508,0.054339,0.595839,0.317868
0.2066667,-59.357479,0.054300,0.595845,0.317864,-59.304646,0.054420,0.595820,0.317881
0.2133333,-59.337955,0.054376,0.595827,0.317876,-59.283829,0.054502,0.595801,0.317894
0.2200000,-59.318455,0.054453,0.595809,0.317889,-59.263054,0.054586,0.595782,0.317907
0.2266667,-59.298977,0.054532,0.595790,0.317901,-59.242321,0.054671,0.595761,0.317921
0.2333333,-59.279526,0.054612,0.595771,0.317914,-59.221630,0.054757,0.595741,0.317935
0.2400000,-59.260098,0.054693,0.595751,0.317928,-59.200981,0.054845,0.595719,0.317949
0.2466667,-59.240692,0.054776,0.595731,0.317941,-59.180374,0.054934,0.595697,0.317964
0.2533333,-59.221310,0.054860,0.595710,0.317955,-59.159805,0.055025,0.595675,0.317979
0.2600000,-59.201946,0.054945,0.595689,0.317970,-59.139275,0.055116,0.595652,0.317995
0.2666667,-59.182606,0.055031,0.595667,0.317984,-59.118782,0.055209,0.595628,0.318011
0.2733333,-59.163284,0.055119,0.595645,0.318000,-59.098328,0.055303,0.595604,0.318027
0.2800000,-59.143982,0.055207,0.595622,0.318015,-59.077908,0.055399,0.595579,0.318044
0.2866667,-59.124699,0.055297,0.595598,0.318031,-59.057526,0.055495,0.595554,0.318061
0.2933333,-59.105438,0.055388,0.595574,0.318047,-59.037178,0.055593,0.595528,0.318079
0.3000000,-59.086193,0.055479,0.595550,0.318064,-59.016865,0.055691,0.595501,0.318096
0.3066667,-59.066967,0.055572,0.595524,0.318081,-58.996586,0.055791,0.595474,0.318115
0.3133333,-59.047760,0.055666,0.595499,0.318098,-58.976337,0.055891,0.595447,0.318133
0.3200000,-59.028568,0.055761,0.595473,0.318115,-58.956123,0.055993,0.595419,0.318152
0.3266667,-59.009396,0.055856,0.595446,0.318133,-58.935940,0.056095,0.595390,0.318171
0.3333333,-58.990238,0.055953,0.595419,0.318152,-58.915791,0.056199,0.595361,0.318191
0.3400000,-58.971096,0.056050,0.595391,0.318170,-58.895672,0.056303,0.595331,0.318211
0.3466667,-58.951973,0.056148,0.595363,0.318189,-58.875584,0.056408,0.595301,0.318231
0.3533333,-58.932865,0.056247,0.595334,0.318209,-58.855526,0.056514,0.595270,0.318252
0.3600000,-58.913773,0.056347,0.595305,0.318228,-58.835495,0.056621,0.595238,0.318273
0.3666667,-58.894691,0.056448,0.595275,0.318248,-58.815495,0.056729,0.595206,0.318295
0.3733333,-58.875626,0.056549,0.595245,0.318269,-58.795521,0.056837,0.595174,0.318317
0.3800000,-58.856575,0.056652,0.595214,0.318289,-58.775574,0.056947,0.595141,0.318339
0.3866667,-58.837536,0.056755,0.595183,0.318311,-58.755653,0.057057,0.595107,0.318362
0.3933333,-58.818512,0.056858,0.595151,0.318332,-58.735760,0.057167,0.595073,0.318385
0.4000000,-58.799500,0.056963,0.595118,0.318354,-58.715893,0.057279,0.595038,0.318408
0.4066667,-58.780499,0.057068,0.595085,0.318376,-58.696053,0.057391,0.595003,0.318431
0.4133333,-58.761513,0.057174,0.595052,0.318398,-58.676239,0.057504,0.594967,0.318456
0.4200000,-58.742538,0.057281,0.595018,0.318421,-58.656448,0.057617,0.594931,0.318480
0.4266667,-58.723576,0.057388,0.594983,0.318444,-58.636684,0.057731,0.594894,0.318505
0.4333333,-58.704624,0.057496,0.594948,0.318468,-58.616943,0.057846,0.594856,0.318530
0.4400000,-58.685684,0.057604,0.594913,0.318491,-58.597225,0.057961,0.594818,0.318555
0.4466667,-58.666752,0.057713,0.594877,0.318516,-58.577530,0.058077,0.594780,0.318581
0.4533333,-58.647831,0.057823,0.594840,0.318540,-58.557858,0.058194,0.594740,0.318607
0.4600000,-58.628922,0.057933,0.594803,0.318565,-58.538208,0.058311,0.594701,0.318634
0.4666667,-58.610020,0.058044,0.594765,0.318590,-58.518578,0.058429,0.594661,0.318661
0.4733333,-58.591129,0.058155,0.594727,0.318616,-58.498970,0.058547,0.594620,0.318688
