spike_count_distance_to_wild_type,similarity_pct,n_intervention_tests,share_of_plotted_pct,cumulative_tests_at_or_above_this_similarity
2,94.5946,10780,0.783659,10780
3,91.8919,8920,0.648445,19700
4,89.1892,9058,0.658477,28758
5,86.4865,9716,0.70631,38474
6,83.7838,12718,0.924543,51192
7,81.0811,6923,0.503272,58115
8,78.3784,11863,0.862388,69978
9,75.6757,11501,0.836072,81479
10,72.973,19296,1.402734,100775
11,70.2703,20442,1.486044,121217
12,67.5676,13652,0.99244,134869
13,64.8649,16986,1.234808,151855
14,62.1622,13397,0.973903,165252
15,59.4595,12980,0.943589,178232
16,56.7568,13982,1.01643,192214
17,54.0541,13107,0.952821,205321
18,51.3514,12095,0.879253,217416
19,48.6486,27981,2.034096,245397
20,45.9459,18679,1.357881,264076
21,43.2432,28573,2.077131,292649
22,40.5405,19611,1.425633,312260
23,37.8378,14367,1.044418,326627
24,35.1351,21888,1.591161,348515
25,32.4324,18182,1.321751,366697
26,29.7297,42417,3.083529,409114
27,27.027,60790,4.419166,469904
28,24.3243,40012,2.908697,509916
29,21.6216,36678,2.666329,546594
30,18.9189,27836,2.023555,574430
31,16.2162,44796,3.256472,619226
32,13.5135,24608,1.788893,643834
33,10.8108,40749,2.962273,684583
34,8.1081,36030,2.619223,720613
35,5.4054,38264,2.781625,758877
36,2.7027,45679,3.320662,804556
37,0.0,29824,2.168074,834380
38,-2.7027,22285,1.620022,856665
39,-5.4054,25534,1.85621,882199
40,-8.1081,21720,1.578949,903919
41,-10.8108,41900,3.045946,945819
42,-13.5135,27847,2.024354,973666
43,-16.2162,32248,2.344288,1005914
44,-18.9189,30602,2.224631,1036516
45,-21.6216,30167,2.193008,1066683
46,-24.3243,18885,1.372856,1085568
47,-27.027,13102,0.952458,1098670
48,-29.7297,11862,0.862315,1110532
49,-32.4324,10091,0.733571,1120623
50,-35.1351,13450,0.977756,1134073
51,-37.8378,10940,0.79529,1145013
52,-40.5405,8075,0.587017,1153088
53,-43.2432,9236,0.671417,1162324
54,-45.9459,6447,0.468669,1168771
55,-48.6486,13268,0.964525,1182039
56,-51.3514,8229,0.598212,1190268
57,-54.0541,13277,0.96518,1203545
58,-56.7568,19436,1.412912,1222981
59,-59.4595,13319,0.968233,1236300
60,-62.1622,10957,0.796526,1247257
61,-64.8649,6558,0.476738,1253815
62,-67.5676,11118,0.80823,1264933
63,-70.2703,5358,0.389503,1270291
64,-72.973,8814,0.640739,1279105
65,-75.6757,9013,0.655205,1288118
66,-78.3784,10376,0.75429,1298494
67,-81.0811,12983,0.943807,1311477
68,-83.7838,9179,0.667273,1320656
69,-86.4865,8597,0.624964,1329253
70,-89.1892,9059,0.658549,1338312
71,-91.8919,6347,0.461399,1344659
72,-94.5946,12906,0.938209,1357565
73,-97.2973,8661,0.629617,1366226
74,-100.0,9373,0.681376,1375599
