variant,scheme,seed,draws_to_first_success,reached_within_budget,viable_draws_pct,best_similarity_reached_pct,budget_per_repeat,target_similarity_pct
sodium +6.1 mV (R859C),uniform,20260826,,no,5.6928,2.1786,1000000,92.6035
sodium +6.1 mV (R859C),uniform,20260827,,no,5.7135,2.1786,1000000,92.6035
sodium +6.1 mV (R859C),uniform,20260828,,no,5.6937,2.1786,1000000,92.6035
sodium +6.1 mV (R859C),uniform,20260829,,no,5.6907,2.1786,1000000,92.6035
sodium +6.1 mV (R859C),uniform,20260830,,no,5.6878,2.1786,1000000,92.6035
sodium +6.1 mV (R859C),uniform,20260831,,no,5.6819,2.1786,1000000,92.6035
sodium +6.1 mV (R859C),uniform,20260832,,no,5.6968,2.1786,1000000,92.6035
sodium +6.1 mV (R859C),uniform,20260833,,no,5.7433,59.2593,1000000,92.6035
sodium +6.1 mV (R859C),loguniform,20260826,1303,yes,38.1377,97.6035,1000000,92.6035
sodium +6.1 mV (R859C),loguniform,20260827,379,yes,38.2622,97.6035,1000000,92.6035
sodium +6.1 mV (R859C),loguniform,20260828,2654,yes,38.3069,97.6035,1000000,92.6035
sodium +6.1 mV (R859C),loguniform,20260829,6032,yes,38.1835,97.6035,1000000,92.6035
sodium +6.1 mV (R859C),loguniform,20260830,12668,yes,38.1348,97.6035,1000000,92.6035
sodium +6.1 mV (R859C),loguniform,20260831,5881,yes,38.0589,97.6035,1000000,92.6035
sodium +6.1 mV (R859C),loguniform,20260832,2443,yes,38.1752,97.6035,1000000,92.6035
sodium +6.1 mV (R859C),loguniform,20260833,9025,yes,38.1515,97.6035,1000000,92.6035
potassium +4.7 mV (Kv7.2 D212G),uniform,20260826,,no,17.0505,42.8571,1000000,94.3506
potassium +4.7 mV (Kv7.2 D212G),uniform,20260827,,no,16.9891,-4.8701,1000000,94.3506
potassium +4.7 mV (Kv7.2 D212G),uniform,20260828,,no,16.9795,-23.7013,1000000,94.3506
potassium +4.7 mV (Kv7.2 D212G),uniform,20260829,,no,17.0158,56.4935,1000000,94.3506
potassium +4.7 mV (Kv7.2 D212G),uniform,20260830,,no,17.0412,-4.2208,1000000,94.3506
potassium +4.7 mV (Kv7.2 D212G),uniform,20260831,,no,16.9685,46.7532,1000000,94.3506
potassium +4.7 mV (Kv7.2 D212G),uniform,20260832,,no,16.9223,-26.9481,1000000,94.3506
