variant,candidates_kept,share_of_spiking_pct,spike_count_distance_cut,similarity_cut_pct,linear_pc1_pct,linear_pc2_pct,linear_pc3_pct,linear_plane_residual_pct,linear_pc1_axis,linear_pc1_loading_sodium,linear_pc1_loading_potassium,linear_pc1_loading_leak,log_pc1_pct,log_pc2_pct,log_pc3_pct,log_plane_residual_pct,log_pc1_axis,log_pc1_loading_sodium,log_pc1_loading_potassium,log_pc1_loading_leak
"sodium activation +6.1 mV (R859C, ModelDB 87585)",31,0.001042,11,97.6035,98.6872,1.3128,0.0,0.0,sodium,0.5851,0.5851,0.5616,87.584,12.416,0.0,0.0,sodium,0.5844,0.5844,0.5631
"sodium activation +6.1 mV (R859C, ModelDB 87585)",44,0.001479,12,97.3856,73.9661,25.9834,0.0505,0.5985,sodium,0.7521,0.5811,0.3108,67.0447,31.7357,1.2196,3.7647,sodium,0.6887,0.4876,0.5367
"sodium activation +6.1 mV (R859C, ModelDB 87585)",86,0.002891,13,97.1678,76.7376,23.1845,0.0779,0.665,sodium,0.6434,0.6342,0.4288,69.8527,28.415,1.7323,4.2007,leak,0.589,0.4829,0.648
"sodium activation +6.1 mV (R859C, ModelDB 87585)",175,0.005883,14,96.9499,69.0321,30.8987,0.0692,0.7154,potassium,0.4821,0.876,0.0107,54.8865,43.4897,1.6238,5.317,potassium,0.4203,0.8319,0.3623
"sodium activation +6.1 mV (R859C, ModelDB 87585)",231,0.007766,15,96.732,74.8228,25.0928,0.0844,0.731,potassium,0.4849,0.871,0.0791,57.6761,40.8406,1.4833,4.9939,potassium,0.5679,0.8073,0.1601
"sodium activation +6.1 mV (R859C, ModelDB 87585)",274,0.009212,16,96.5142,72.1487,27.7407,0.1105,0.9703,potassium,0.4859,0.8698,0.0854,62.1084,36.1357,1.7559,6.2285,potassium,0.5757,0.7508,0.3238
"sodium activation +6.1 mV (R859C, ModelDB 87585)",297,0.009985,17,96.2963,69.4253,30.4557,0.119,1.056,potassium,0.4876,0.869,0.0849,60.4526,37.6934,1.854,6.6101,potassium,0.5803,0.7475,0.3234
"sodium activation +6.1 mV (R859C, ModelDB 87585)",319,0.010725,18,96.0784,69.0001,30.8527,0.1472,1.1228,potassium,0.4912,0.8682,0.0704,59.498,38.328,2.174,7.2248,potassium,0.5896,0.7437,0.3149
"sodium activation +6.1 mV (R859C, ModelDB 87585)",360,0.012103,19,95.8606,60.8595,38.8998,0.2408,1.3319,potassium,0.5802,0.8074,0.107,56.6748,40.7903,2.5349,7.217,leak,0.6198,0.4089,0.6698
"sodium activation +6.1 mV (R859C, ModelDB 87585)",392,0.013179,20,95.6427,58.5212,41.183,0.2958,1.5642,sodium,0.6888,0.673,0.2694,59.245,38.0731,2.6819,7.4546,leak,0.6337,0.3111,0.7083
"sodium activation +6.1 mV (R859C, ModelDB 87585)",465,0.015633,22,95.207,57.4218,42.1787,0.3995,1.7161,sodium,0.7009,0.6819,0.2093,58.1696,39.0063,2.8241,7.4531,leak,0.6109,0.2079,0.7639
"sodium activation +6.1 mV (R859C, ModelDB 87585)",580,0.019499,24,94.7712,58.7148,40.8329,0.4522,1.924,potassium,0.6743,0.7343,0.0786,56.992,40.4537,2.5542,6.692,leak,0.61,0.1773,0.7723
"sodium activation +6.1 mV (R859C, ModelDB 87585)",885,0.029754,27,94.1176,56.3102,43.0783,0.6115,1.9978,sodium,0.747,0.653,0.1251,59.7724,37.4479,2.7797,6.1159,leak,0.5292,0.0236,0.8482
"sodium activation +6.1 mV (R859C, ModelDB 87585)",1134,0.038125,29,93.6819,56.7429,42.5869,0.6701,2.1562,sodium,0.812,0.5184,0.2682,64.3224,32.9901,2.6875,5.8331,leak,0.5471,0.0273,0.8366
"sodium activation +6.1 mV (R859C, ModelDB 87585)",1604,0.053926,33,92.8105,58.3418,40.8931,0.7651,2.5277,potassium,0.5238,0.761,0.3827,57.1088,40.2499,2.6413,5.4994,leak,0.381,0.1495,0.9124
"sodium activation +6.1 mV (R859C, ModelDB 87585)",2378,0.079948,37,91.939,72.059,27.2732,0.6678,2.5328,potassium,0.6775,0.6884,0.2591,59.1617,38.648,2.1903,5.332,leak,0.4113,0.4567,0.7889
"sodium activation +6.1 mV (R859C, ModelDB 87585)",3349,0.112593,41,91.0675,77.208,22.0731,0.7188,2.7015,potassium,0.6595,0.7078,0.2531,63.694,34.0866,2.2194,5.3855,leak,0.5403,0.5047,0.6733
"sodium activation +6.1 mV (R859C, ModelDB 87585)",5014,0.16857,46,89.9782,77.5239,21.6785,0.7976,2.777,potassium,0.6327,0.7164,0.2939,65.709,31.9735,2.3175,5.6736,leak,0.5316,0.5209,0.6679
"sodium activation +6.1 mV (R859C, ModelDB 87585)",6971,0.234364,52,88.671,75.5449,23.6291,0.826,2.5601,potassium,0.583,0.7286,0.3595,66.7238,30.9983,2.2779,5.5483,leak,0.5183,0.5063,0.6892
"sodium activation +6.1 mV (R859C, ModelDB 87585)",9989,0.335828,60,86.9281,74.4926,24.6671,0.8403,2.7219,potassium,0.5823,0.7164,0.3843,66.8295,30.7554,2.4151,5.5316,leak,0.5002,0.5052,0.7033
"sodium activation +6.1 mV (R859C, ModelDB 87585)",13274,0.446269,68,85.1852,72.634,26.459,0.907,2.7107,potassium,0.5775,0.6978,0.4238,65.9381,31.6837,2.3782,5.477,leak,0.5097,0.4983,0.7013
"sodium activation +6.1 mV (R859C, ModelDB 87585)",17299,0.581589,78,83.0065,72.1578,26.7847,1.0575,2.4839,potassium,0.623,0.6908,0.3671,64.3759,33.2144,2.4097,5.4614,leak,0.5244,0.497,0.6914
"sodium activation +6.1 mV (R859C, ModelDB 87585)",21504,0.72296,89,80.61,72.048,26.5722,1.3798,2.9548,potassium,0.6431,0.6833,0.3457,64.194,33.3459,2.4601,5.5139,leak,0.5512,0.502,0.6664
"sodium activation +6.1 mV (R859C, ModelDB 87585)",26625,0.895127,103,77.5599,69.9763,28.313,1.7108,3.2174,sodium,0.6939,0.64,0.3302,62.6764,34.8759,2.4477,5.5388,leak,0.5731,0.485,0.6606
"sodium activation +6.1 mV (R859C, ModelDB 87585)",32490,1.092308,118,74.2919,68.9209,28.6467,2.4324,3.7047,sodium,0.7111,0.6293,0.3136,61.5786,35.8247,2.5967,5.685,leak,0.5877,0.4839,0.6484
"sodium activation +6.1 mV (R859C, ModelDB 87585)",39777,1.337295,137,70.1525,66.9929,29.8033,3.2039,4.1287,sodium,0.7572,0.5829,0.2947,59.9933,37.3611,2.6456,5.735,leak,0.6117,0.465,0.64
"sodium activation +6.1 mV (R859C, ModelDB 87585)",48771,1.639672,158,65.5773,66.7679,28.8914,4.3407,4.8693,sodium,0.778,0.5708,0.2625,59.2659,37.8756,2.8585,5.9299,sodium,0.6407,0.4552,0.6183
"sodium activation +6.1 mV (R859C, ModelDB 87585)",60083,2.019979,183,60.1307,66.1792,28.2958,5.525,5.5053,sodium,0.7988,0.5554,0.231,58.1451,38.7507,3.1042,6.2492,sodium,0.6434,0.4454,0.6226
"sodium activation +6.1 mV (R859C, ModelDB 87585)",76191,2.561527,212,53.8126,65.0773,28.1722,6.7505,6.1204,sodium,0.8522,0.4855,0.195,56.6577,39.905,3.4373,6.7108,sodium,0.6974,0.4131,0.5857
"sodium activation +6.1 mV (R859C, ModelDB 87585)",99334,3.33959,247,46.1874,61.4842,29.4037,9.1121,6.7615,sodium,0.8318,0.5209,0.1918,54.333,41.2499,4.4171,7.6774,sodium,0.6709,0.3967,0.6265
"sodium activation +6.1 mV (R859C, ModelDB 87585)",129612,4.357531,287,37.4728,59.932,31.4062,8.6618,6.4812,sodium,0.8667,0.4914,0.0851,50.0946,45.2811,4.6244,8.2374,sodium,0.7526,0.4017,0.5218
"sodium activation +6.1 mV (R859C, ModelDB 87585)",159088,5.348508,333,27.451,57.5705,33.8758,8.5537,6.1758,sodium,0.8315,0.5551,0.0194,48.5098,47.0405,4.4497,8.3739,sodium,0.7088,0.3034,0.6369
"sodium activation +6.1 mV (R859C, ModelDB 87585)",167608,5.634949,388,15.4684,57.1942,34.7402,8.0656,5.5323,sodium,0.8547,0.519,0.0107,51.0054,46.007,2.9875,6.1871,leak,0.2857,0.042,0.9574
"sodium activation +6.1 mV (R859C, ModelDB 87585)",280905,9.443972,452,1.5251,93.2396,4.0752,2.6851,0.3138,leak,0.0033,0.0034,1.0,76.083,20.8116,3.1054,4.4928,leak,0.0064,0.0816,0.9966
"potassium activation +4.7 mV (Kv7.2 D212G, ModelDB 118986)",45,0.001342,2,99.3506,96.0878,3.9122,0.0,0.0,sodium,0.672,0.672,0.3111,93.1315,6.8685,0.0,0.0,sodium,0.6629,0.6629,0.348
"potassium activation +4.7 mV (Kv7.2 D212G, ModelDB 118986)",74,0.002207,3,99.026,87.8783,11.9571,0.1646,1.0559,sodium,0.7234,0.5778,0.378,90.9029,8.7134,0.3837,1.8112,sodium,0.6269,0.4725,0.6195
"potassium activation +4.7 mV (Kv7.2 D212G, ModelDB 118986)",189,0.005636,4,98.7013,86.3117,13.5324,0.156,0.8998,leak,0.5918,0.5187,0.617,82.2369,17.5558,0.2073,1.4547,leak,0.4825,0.4031,0.7776
"potassium activation +4.7 mV (Kv7.2 D212G, ModelDB 118986)",253,0.007545,5,98.3766,84.646,15.0189,0.3351,1.0449,sodium,0.6937,0.6202,0.3662,79.6944,20.0013,0.3044,1.7718,leak,0.5272,0.4283,0.7339
"potassium activation +4.7 mV (Kv7.2 D212G, ModelDB 118986)",474,0.014135,6,98.0519,86.678,13.0337,0.2884,1.5092,sodium,0.7398,0.667,0.0887,67.8864,31.9228,0.1908,1.2194,sodium,0.7191,0.6175,0.3187
"potassium activation +4.7 mV (Kv7.2 D212G, ModelDB 118986)",612,0.01825,7,97.7273,88.3819,11.2757,0.3424,1.5659,sodium,0.7375,0.6726,0.0608,65.8715,33.8524,0.2761,1.5058,sodium,0.738,0.6421,0.2075
"potassium activation +4.7 mV (Kv7.2 D212G, ModelDB 118986)",799,0.023827,8,97.4026,88.5677,11.1256,0.3067,1.2967,sodium,0.7532,0.6556,0.0535,63.7874,35.8612,0.3514,1.6421,sodium,0.7229,0.6072,0.3298
"potassium activation +4.7 mV (Kv7.2 D212G, ModelDB 118986)",826,0.024632,9,97.0779,89.9842,9.6913,0.3245,1.3145,sodium,0.7621,0.6457,0.0467,62.4838,37.0925,0.4237,1.6882,sodium,0.7208,0.5867,0.369
"potassium activation +4.7 mV (Kv7.2 D212G, ModelDB 118986)",866,0.025825,10,96.7532,89.0312,10.6667,0.3021,1.3513,sodium,0.761,0.6473,0.0433,63.9839,35.52,0.4961,1.9191,sodium,0.7179,0.5906,0.3686
"potassium activation +4.7 mV (Kv7.2 D212G, ModelDB 118986)",896,0.026719,11,96.4286,85.932,13.771,0.297,1.2078,sodium,0.7335,0.6777,0.0514,61.9482,37.4362,0.6156,2.3033,sodium,0.6779,0.5682,0.4664
