model,perturbation_pct,mode,efficacy_retained_pct_of_unperturbed
multi-compartment (ModelDB 118986),1.0,one conductance at a time,100.0
multi-compartment (ModelDB 118986),1.0,"joint draws, median",100.0
multi-compartment (ModelDB 118986),1.0,"joint draws, 5th percentile",100.0
multi-compartment (ModelDB 118986),1.0,worst combination of directions,96.875
multi-compartment (ModelDB 118986),2.0,one conductance at a time,96.875
multi-compartment (ModelDB 118986),2.0,"joint draws, median",100.0
multi-compartment (ModelDB 118986),2.0,"joint draws, 5th percentile",96.875
multi-compartment (ModelDB 118986),2.0,worst combination of directions,93.75
multi-compartment (ModelDB 118986),3.0,one conductance at a time,96.875
multi-compartment (ModelDB 118986),3.0,"joint draws, median",100.0
multi-compartment (ModelDB 118986),3.0,"joint draws, 5th percentile",93.5938
multi-compartment (ModelDB 118986),3.0,worst combination of directions,84.375
multi-compartment (ModelDB 118986),4.0,one conductance at a time,84.375
multi-compartment (ModelDB 118986),4.0,"joint draws, median",98.4375
multi-compartment (ModelDB 118986),4.0,"joint draws, 5th percentile",84.375
multi-compartment (ModelDB 118986),4.0,worst combination of directions,78.125
multi-compartment (ModelDB 118986),5.0,one conductance at a time,78.125
multi-compartment (ModelDB 118986),5.0,"joint draws, median",96.875
multi-compartment (ModelDB 118986),5.0,"joint draws, 5th percentile",81.0938
multi-compartment (ModelDB 118986),5.0,worst combination of directions,71.875
multi-compartment (ModelDB 118986),6.0,one conductance at a time,78.125
multi-compartment (ModelDB 118986),6.0,"joint draws, median",96.875
multi-compartment (ModelDB 118986),6.0,"joint draws, 5th percentile",78.125
multi-compartment (ModelDB 118986),6.0,worst combination of directions,71.875
multi-compartment (ModelDB 118986),7.000000000000001,one conductance at a time,71.875
multi-compartment (ModelDB 118986),7.000000000000001,"joint draws, median",87.5
multi-compartment (ModelDB 118986),7.000000000000001,"joint draws, 5th percentile",75.0
multi-compartment (ModelDB 118986),7.000000000000001,worst combination of directions,62.5
multi-compartment (ModelDB 118986),8.0,one conductance at a time,71.875
multi-compartment (ModelDB 118986),8.0,"joint draws, median",84.375
multi-compartment (ModelDB 118986),8.0,"joint draws, 5th percentile",71.875
multi-compartment (ModelDB 118986),8.0,worst combination of directions,53.125
multi-compartment (ModelDB 118986),9.0,one conductance at a time,71.875
multi-compartment (ModelDB 118986),9.0,"joint draws, median",84.375
