card,implementation,batch,table1_quoted,original_single_run,n_repeats,median,min,max,spread_pct_of_median,repeats
RTX 2070,unfused,64,,2.2,5,2.1,2.1,2.1,0.0,2.1 2.1 2.1 2.1 2.1
RTX 2070,unfused,1024,,34.9,5,33.7,33.1,34.0,2.67,34.0 33.7 33.1 33.2 33.7
RTX 2070,unfused,4096,,139.5,5,134.3,133.0,137.3,3.2,137.3 134.3 134.0 133.0 134.7
RTX 2070,unfused,16384,,559.6,5,539.2,531.1,550.2,3.54,550.2 537.4 539.2 531.1 545.6
RTX 2070,unfused,65536,,531.7,5,531.4,531.1,531.7,0.11,531.4 531.5 531.1 531.7 531.4
RTX 2070,unfused,262144,543,542.9,5,542.9,542.8,543.0,0.04,542.8 542.9 542.9 543.0 542.9
RTX 2070,unfused,1048576,,545.8,5,545.8,545.8,545.8,0.0,545.8 545.8 545.8 545.8 545.8
RTX 2070,graph-captured,64,,24.2,5,24.2,24.2,24.2,0.0,24.2 24.2 24.2 24.2 24.2
RTX 2070,graph-captured,1024,,309.2,5,311.5,311.3,311.7,0.13,311.6 311.7 311.3 311.3 311.5
RTX 2070,graph-captured,4096,,779.7,5,779.6,779.2,779.9,0.09,779.4 779.7 779.6 779.9 779.2
RTX 2070,graph-captured,16384,,782.7,5,782.6,782.5,782.9,0.05,782.9 782.6 782.5 782.7 782.5
RTX 2070,graph-captured,65536,,561.3,5,561.3,561.3,561.4,0.02,561.4 561.4 561.3 561.3 561.3
RTX 2070,graph-captured,262144,,569.7,5,569.7,569.7,569.7,0.0,569.7 569.7 569.7 569.7 569.7
RTX 2070,graph-captured,1048576,572,571.7,5,571.7,571.7,571.7,0.0,571.7 571.7 571.7 571.7 571.7
RTX 2070,fused,64,,301.9,5,305.3,302.5,310.5,2.62,310.5 306.8 302.5 305.3 303.2
RTX 2070,fused,1024,,5031.9,5,4982.7,4882.5,5010.6,2.57,4882.5 5010.6 4905.1 4982.7 5004.1
RTX 2070,fused,4096,,19767.9,5,19478.6,19106.4,19622.5,2.65,19122.2 19622.5 19610.9 19478.6 19106.4
RTX 2070,fused,16384,,31346.4,5,30266.5,30085.7,32974.4,9.54,32532.9 32974.4 30266.5 30085.7 30121.0
RTX 2070,fused,65536,,33458.8,5,34126.3,34080.6,34308.2,0.67,34308.2 34126.3 34156.6 34092.1 34080.6
RTX 2070,fused,262144,34350,34350.0,5,34279.4,34275.1,34288.2,0.04,34275.1 34276.1 34279.4 34283.3 34288.2
RTX 2070,fused,1048576,,34283.7,5,34250.7,34232.1,34389.1,0.46,34389.1 34250.7 34261.3 34232.1 34232.8
RTX 4070 Ti,unfused,64,,2.8,5,2.7,2.7,2.7,0.0,2.7 2.7 2.7 2.7 2.7
RTX 4070 Ti,unfused,1024,,43.5,5,42.7,41.4,44.4,7.03,44.4 41.4 44.4 42.7 42.5
RTX 4070 Ti,unfused,4096,,176.4,5,175.5,160.0,177.8,10.14,176.3 160.0 177.8 175.5 168.6
RTX 4070 Ti,unfused,16384,,717.9,5,708.9,674.9,714.5,5.59,711.0 695.7 714.5 708.9 674.9
RTX 4070 Ti,unfused,65536,2044,2044.3,5,2052.9,2045.8,2056.8,0.54,2052.9 2056.8 2050.9 2045.8 2054.9
RTX 4070 Ti,unfused,262144,,674.7,5,682.3,682.3,682.3,0.0,682.3 682.3 682.3 682.3 682.3
RTX 4070 Ti,unfused,1048576,,605.1,5,609.9,609.8,610.0,0.03,609.9 609.9 610.0 609.9 609.8
RTX 4070 Ti,graph-captured,64,,38.8,5,37.2,36.2,38.8,6.99,36.7 38.8 36.2 37.2 38.7
RTX 4070 Ti,graph-captured,1024,,586.1,5,545.4,545.2,546.2,0.18,545.9 545.4 546.2 545.2 545.2
RTX 4070 Ti,graph-captured,4096,,1802.5,5,1678.8,1678.0,1682.5,0.27,1678.8 1678.2 1679.4 1682.5 1678.0
RTX 4070 Ti,graph-captured,16384,2924,2924.1,5,2805.6,2790.1,2809.1,0.68,2805.6 2809.1 2803.0 2790.1 2807.9
RTX 4070 Ti,graph-captured,65536,,2303.3,5,2301.3,2297.6,2306.0,0.37,2306.0 2302.4 2300.5 2297.6 2301.3
RTX 4070 Ti,graph-captured,262144,,715.9,5,727.1,727.1,727.1,0.0,727.1 727.1 727.1 727.1 727.1
RTX 4070 Ti,graph-captured,1048576,,633.7,5,638.6,638.5,638.7,0.03,638.5 638.7 638.6 638.6 638.5
RTX 4070 Ti,fused,64,,423.1,5,385.2,346.9,418.6,18.61,418.6 385.2 346.9 381.4 386.2
RTX 4070 Ti,fused,1024,,6429.9,5,6376.5,6010.2,6494.5,7.6,6385.6 6376.5 6494.5 6075.2 6010.2
RTX 4070 Ti,fused,4096,,26472.9,5,24059.7,23511.9,25210.9,7.06,25210.9 23701.2 24955.0 24059.7 23511.9
RTX 4070 Ti,fused,16384,107013,107012.9,5,100443.4,98001.1,104925.9,6.89,100443.4 103496.4 98001.1 104925.9 98064.3
RTX 4070 Ti,fused,65536,,62798.1,5,63234.1,63212.9,63379.7,0.26,63379.7 63212.9 63234.1 63220.1 63245.5
RTX 4070 Ti,fused,262144,,62805.5,5,63044.1,63022.8,63098.1,0.12,63098.1 63037.4 63059.5 63044.1 63022.8
RTX 4070 Ti,fused,1048576,63205,63204.6,5,63649.2,63633.1,63651.4,0.03,63651.4 63640.5 63649.2 63633.1 63649.7
